,time,solar_effect,room_temp,ambient_temp,heating_setpoint,cooling_setpoint,occupancy_effect
180,2025-03-11 03:01:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
181,2025-03-11 03:02:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
182,2025-03-11 03:03:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
183,2025-03-11 03:04:00+00:00,7.538159179530001,26.206666666666663,3.5,20.5,24.5,0.0
184,2025-03-11 03:05:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
185,2025-03-11 03:06:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
186,2025-03-11 03:07:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
187,2025-03-11 03:08:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
188,2025-03-11 03:09:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
189,2025-03-11 03:10:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
190,2025-03-11 03:11:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
191,2025-03-11 03:12:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
192,2025-03-11 03:13:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
193,2025-03-11 03:14:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
194,2025-03-11 03:15:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
195,2025-03-11 03:16:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
196,2025-03-11 03:17:00+00:00,7.538159179530001,26.226666666666667,3.5,20.5,24.5,0.0
197,2025-03-11 03:18:00+00:00,7.538159179530001,26.22,3.5,20.5,24.5,0.0
198,2025-03-11 03:19:00+00:00,7.538159179530001,26.21333333333333,3.5,20.5,24.5,0.0
199,2025-03-11 03:20:00+00:00,7.538159179530001,26.206666666666663,3.5,20.5,24.5,0.0
200,2025-03-11 03:21:00+00:00,7.538159179530001,26.2,3.5,20.5,24.5,0.0
201,2025-03-11 03:22:00+00:00,7.538159179530001,26.19333333333333,3.5,20.5,24.5,0.0
202,2025-03-11 03:23:00+00:00,7.538159179530001,26.19333333333333,3.5,20.5,24.5,0.0
203,2025-03-11 03:24:00+00:00,7.538159179530001,26.186666666666664,3.5,20.5,24.5,0.0
204,2025-03-11 03:25:00+00:00,7.538159179530001,26.186666666666667,3.5,20.5,24.5,0.0
205,2025-03-11 03:26:00+00:00,7.538159179530001,26.186666666666667,3.5,20.5,24.5,0.0
206,2025-03-11 03:27:00+00:00,7.538159179530001,26.18,3.5,20.5,24.5,0.0
207,2025-03-11 03:28:00+00:00,7.538159179530001,26.18,3.5,20.5,24.5,0.0
208,2025-03-11 03:29:00+00:00,7.538159179530001,26.18,3.5,20.5,24.5,0.0
209,2025-03-11 03:30:00+00:00,7.538159179530001,26.173333333333336,3.5,20.5,24.5,0.0
210,2025-03-11 03:31:00+00:00,7.538159179530001,26.173333333333336,3.5,20.5,24.5,0.0
211,2025-03-11 03:32:00+00:00,7.538159179530001,26.16,3.5,20.5,24.5,0.0
212,2025-03-11 03:33:00+00:00,7.538159179530001,26.166666666666668,3.5,20.5,24.5,0.0
213,2025-03-11 03:34:00+00:00,7.538159179530001,26.166666666666668,3.5,20.5,24.5,0.0
214,2025-03-11 03:35:00+00:00,7.538159179530001,26.160000000000004,3.5,20.5,24.5,0.0
215,2025-03-11 03:36:00+00:00,7.538159179530001,26.16,3.5,20.5,24.5,0.0
216,2025-03-11 03:37:00+00:00,7.538159179530001,26.166666666666668,3.5,20.5,24.5,0.0
217,2025-03-11 03:38:00+00:00,7.538159179530001,26.16,3.5,20.5,24.5,0.0
218,2025-03-11 03:39:00+00:00,7.538159179530001,26.166666666666668,3.5,20.5,24.5,0.0
219,2025-03-11 03:40:00+00:00,7.538159179530001,26.16,3.5,20.5,24.5,0.0
220,2025-03-11 03:41:00+00:00,7.538159179530001,26.16,3.5,20.5,24.5,0.0
221,2025-03-11 03:42:00+00:00,7.538159179530001,26.16,3.5,20.5,24.5,0.0
222,2025-03-11 03:43:00+00:00,7.538159179530001,26.15333333333333,3.5,20.5,24.5,0.0
223,2025-03-11 03:44:00+00:00,7.538159179530001,26.14666666666667,3.5,20.5,24.5,0.0
224,2025-03-11 03:45:00+00:00,7.538159179530001,26.14,3.5,20.5,24.5,0.0
225,2025-03-11 03:46:00+00:00,7.538159179530001,26.133333333333333,3.5,20.5,24.5,0.0
226,2025-03-11 03:47:00+00:00,7.538159179530001,26.12666666666667,3.5,20.5,24.5,0.0
227,2025-03-11 03:48:00+00:00,7.538159179530001,26.126666666666665,3.5,20.5,24.5,0.0
228,2025-03-11 03:49:00+00:00,7.538159179530001,26.12666666666667,3.5,20.5,24.5,0.0
229,2025-03-11 03:50:00+00:00,7.538159179530001,26.12,3.5,20.5,24.5,0.0
230,2025-03-11 03:51:00+00:00,7.538159179530001,26.12666666666667,3.5,20.5,24.5,0.0
231,2025-03-11 03:52:00+00:00,7.538159179530001,26.12,3.5,20.5,24.5,0.0
232,2025-03-11 03:53:00+00:00,7.538159179530001,26.12,3.5,20.5,24.5,0.0
233,2025-03-11 03:54:00+00:00,7.538159179530001,26.12,3.5,20.5,24.5,0.0
